glyph,isv
𓎯,olej
𓎲,umyvaĺnik
𖠚,čaša
𓎶,miska
𐃞,taliŕka
𓎸,đbanȯk
𓏌,grn

𓏖,bohanka
𓏏,hlěb

⛆,dȯžd́
⛈,blěskavica
⛓,lancuh
⛨,zaščita
⛰,gora

𓏛,svitȯk
𓏞,piśmennost́
𓏢,harfa
𖠞,ljuljka
✉,koverta
✎,olovka
𖣯,šahovnica

𓏠,senet,board
𓏡,game,piece
𓏣,sistrum
,✍,Writing,Hand
,✏,Pencil
2710,✐,Upper,Right,Pencil
2711,✑,White,Nib
✒,Black,Nib


STRUCTURES

𖡚,-,teepee


2654,♔,White,Chess,King
2655,♕,White,Chess,Queen
2656,♖,White,Chess,Rook
2657,♗,White,Chess,Bishop
2658,♘,White,Chess,Knight
2659,♙,White,Chess,Pawn
265A,♚,Black,Chess,King
265B,♛,Black,Chess,Queen
265C,♜,Black,Chess,Rook
265D,♝,Black,Chess,Bishop
265E,♞,Black,Chess,Knight
265F,♟,Black,Chess,Pawn

Symbols,for,draughts,and,checkers
26C0,⛀,White,Draughts,Man
26C1,⛁,White,Draughts,King
26C2,⛂,Black,Draughts,Man
26C3,⛃,Black,Draughts,King

Playing,card,symbols
2660,♠,Black,Spade,Suit
2661,♡,White,Heart,Suit
2662,♢,White,Diamond,Suit
,,→25C7,◇,white,diamond
,,→25CA,◊,lozenge
2663,♣,Black,Club,Suit
,,→2618,☘,shamrock
2664,♤,White,Spade,Suit
2665,♥,Black,Heart,Suit
,,=valentine
,,→2764,❤,heavy,black,heart
,,→1F394,🎔,heart,with,tip,on,the,left
,,→1F499,💙,blue,heart
,,→1F5A4,🖤,black,heart
2666,♦,Black,Diamond,Suit
,,→25C6,◆,black,diamond
2667,♧,White,Club,Suit


,♨,Hot,Springs

,2680,⚀,Die,Face-1
,,→1F3B2,🎲,game,die
2681,⚁,Die,Face-2
2682,⚂,Die,Face-3
2683,⚃,Die,Face-4
2684,⚄,Die,Face-5
2685,⚅,Die,Face-6

CF,⛏,pick

⚔,Crossed,Swords

,⚚,Staff,Of,Hermes


,⛩,Shinto,Shrine

Stars,asterisks,and,snowflakes
❂,Circled,Open,Centre,Eight,Pointed,Star
❃,Heavy,Teardrop-Spoked,Pinwheel,Asterisk
,❄,Snowflake
❅,Tight,Trifoliate,Snowflake
,❆,Heavy,Chevron,Snowflake
,❇,Sparkle
,❈,Heavy,Sparkle
,❉,
,❊,Eight,Teardrop-Spoked,Propeller,Asterisk
,❋,



𓆢,catfish
𖡑,bam,fish
𖣼,bam,fish
𖠍,bam,bug
𖠏,bam,bug
𖠤,bam,bug
𖡕
𖢤
𖢥
𖤍

TREES,AND,PLANTS
𖤤,
𔒳,
𔒻,
𔒿,
𔗶,

𓆲,owl,with,branch
𓆷,pool,with,lots,s
𓆸,lotus,
𓆼,lotus,plant
𓆾,seven,lotus,plants
𓆳,palm,branch

𓇋,reed
𓇉,clump,of,papyrus
𓇓,sedge
𓇕,lily
𓇗,ing,sedge
𓇚,three,lilies


𓇞,tree,in,vase




𓇥,bundle,of,flax

𓇨,basket,of,fruit
𓇩,bundle,of,reeds


𓂥,
𓂡,
𓂠,
𓃲
𓃴
𓃵
𓃶
𖠅,
𓄋,
𓄏,
𓄝
𓅾,
𖠊,
𖠊,
𖠓,
𖡅,
𖡉,



𔒰,
𓇬,
☣
𔓘
𖢄
𖠁,bamum,
𖠄,bam,
𖠇,bam,
𖠶,bam,
𖠸,bam,
𖡗,
𖡈,
𖢨,
𖡛,
𖡦,
𖤓
𖤛

✡
✢
✫,
✬,
✮,
✭,
✯,
✰,
✵
𖥂
𖡨,
𖡹,
𖡟,
𖡷,
𖡽,
⚘
⁕
✾
✿,
❀
❁,

𖢅,
𖢖,
𖢒,
𖦲
𖢗,
𖢭,
𖦯
𖢲,
𖥹
𖣊,bam,
𖤉
𖣐,
𖣓
𖦷
𖧐
𖧷
𖧵
𖣔
𖣘
𖣥
𖣦
𖠺,bam,bush
𖢚
𖥟

𖠻,bam,plant
𖠼,bam,plant
𖡃,bam,plant
𖥸
𖣛
𖢕,plant

𖡆,bam,plant
𖣽
𖡇,plant
𖡒,plant
𖡸
𖥎,plant

𖥣,grass
𖥥,grass
𖥧,grass
𖦹
𖤫,grass
𖤣
𖤥
𖦥

𖦨

𖨛
𖥾
𖦎
𖦉
𖦋
𖦈
𐂒,Linear,B,Ideogram,B125,Cyperus
𓇸,
⯟ TRUE LIGHT MOON ARTA
𓇹,moon
𓈒,grain
𓈇,
𓉶,obelisk
𓉸,stela
𖢢,column,bam
𓊢,mast
𓊦,rudder
FURN
𓊯,𓊰,𓊲,𓊳,𓊵,tables,vysokij,nizkij
𓊷,incense,holder
𓋉,belemnite
𖣆,bam,shirt
𖦠,bam,shirt,chest,piece
𖦤,bam,...,headphone
,⛸,Ice,Skate
𓋦,girdle
𓋣,pectoral
𓋑,white,crown
𓋔,red,crown
𓋖,pschent,crown
𓋱,belt
𓋲,cloth,with,strands
𓋳,cloth,with,fringes
𓋴,folded cloth

𓋹,life,ankh
𓌄,walking,stick,with,flagellum
𓌁,sceptre

𓌆,covering,for,head,and,neck


𔕁,pickaxe

𓍑,fire,drill
𓍙,weird,cross,staff,idk
𓍖,mortar,pestle
𓍔,kiln
𓍛,fullers,club

𐄷,scale

𓍞,hanging,block

𓎘,command,staff
𓐩,cross,staff
☤,healing
⚕,healing


𐃈,
⚸,
𓌇,mace,with,flat,head
𓌈,mace,with,round,head
𓌋,mace,with,strap
𓌑,dagger
𓌘,joined,pieces,of,wood
𓌜,scimitar
𓌚,throw,stick,slanted
𓌝,chariot
𔕃,currus
𐃎,chariot,frame




𓌢,arrow,head

𓌥,fishing,float

𓌨,butchers,block
𓌪,knife

𓌱,butchers,knife

𓎵,metal,vessel
𓎺,cup
𓏇,milk,jug,with,handle
𓏋,beer,jug
𔕮,anat,vessel

100DF,𐃟,Linear,B,Ideogram,Vessel,B200
100E0,𐃠,Linear,B,Ideogram,Vessel,B201
100E1,𐃡,Linear,B,Ideogram,Vessel,B202
100E2,𐃢,Linear,B,Ideogram,Vessel,B203
100E3,𐃣,Linear,B,Ideogram,Vessel,B204
100E4,𐃤,Linear,B,Ideogram,Vessel,B205
100E5,𐃥,Linear,B,Ideogram,Vessel,B206
100E6,𐃦,Linear,B,Ideogram,Vessel,B207
100E7,𐃧,Linear,B,Ideogram,Vessel,B208
100E8,𐃨,Linear,B,Ideogram,Vessel,B209
,,→1F3FA,🏺,amphora
100E9,𐃩,Linear,B,Ideogram,Vessel,B210
100EA,𐃪,Linear,B,Ideogram,Vessel,B211
100EB,𐃫,Linear,B,Ideogram,Vessel,B212
100EC,𐃬,Linear,B,Ideogram,Vessel,B213
100ED,𐃭,Linear,B,Ideogram,Vessel,B214
100EE,𐃮,Linear,B,Ideogram,Vessel,B215
100EF,𐃯,Linear,B,Ideogram,Vessel,B216
100F0,𐃰,Linear,B,Ideogram,Vessel,B217
100F1,𐃱,Linear,B,Ideogram,Vessel,B218
100F2,𐃲,Linear,B,Ideogram,Vessel,B219
100F3,𐃳,Linear,B,Ideogram,Vessel,B221
𔕷,,𔕸,,𔕹,𔕻,,𔕼,𔕾,𔕿,𔖀,𔖃,𔖆,𔖇,𔖈,𔖏
