id	isv	addition	partOfSpeech	type	en	sameInLanguages	genesis	protoslavic	irregularity	cognates	etm_info	related_words
35594	amater		m.anim.	1	amateur	ub z j	F					
37096	Amazonka		f.sg.	1	Amazon	v z j	I	!	!	!	!	!
36059	ambar		m.	2	barn	v bm	T					
127	ambasada		f.	1	embassy	ub z yu mk	I					
24290	ambicija		f.	1	ambition, aspiration	v z j	I					
32530	ambiciozny		adj.	1	ambitious	v z j	I					
36759	ambivalentnosť		f.	1	ambivalence	v z yu	I					
36758	ambivalentny		adj.	1	ambivalent	v z yu	I					
24291	ambrazura		f.		porthole		I					
24294	ameba		f.	1	amoeba	v z j	I					
131	Amerika		f.sg.	1	America	v z j						
136	Amerikanec		m.anim.	1	American	v z j						
6400	Amerikanka		f.	1	American woman	v z j						
6404	Amerikanska Samoa		f.sg.	1	American Samoa	v z j						
12580	Amerikanske Děvičje Ostrovy		m.pl.	1	Virgin Islands U.S.							
52	amerikansky		adj.	1	American	v z j						
24296	ametist		m.	1	amethyst	v z j	I					
23198	amfetamin		m.sg.	1	amphetamine	v z j	I					
23197	amfiteatr		m.	1	amphitheatre, amphitheater	v z j	I					
19632	amin		intj.	1	amen	v z j	I					
24298	amnestija		f.sg.	1	amnesty	v z j	I					
24299	amnestovati		v.tr. ipf./pf.	1	amnesty	v z j	I					
36331	amnezija		f.	1	amnesia	v z j	I					
24301	amonij		m.sg.	1	ammonium	v z j	I					
24302	amonijak		m.sg.	1	ammonia	v z j	I					
24304	amoraľny		adj.	1	amoral		I					
24305	amortizacija		f.sg.	1	amortization	v z j	I					
3835	amortizator		m.	1	shock absorber	v z j	I					
24307	amortizovati		v.tr. ipf./pf.	1	amortize	v z j	I					
34096	amputacija		f.	1	amputation	v z j	I					
34095	amputovati		v.tr. ipf./pf.	1	amputate	v z j	I					
36760	amulet		m.	1	amulet	v z j	I					
32325	amunicija		f.sg.	1	ammunition		I					
37053	Amur		m.sg.	1	Amur	v z j		!	!	!	!	!
35336	anahroničny		adj.	1	anachronistic	v z j	I					
35337	anahronizm		m.	1	anachronism	v z j	I					
24309	analfabet		m.anim.	1	illiterate	z yu mk	I					
24310	analfabetizm		m.sg.	2	illiteracy, analphabetism	z yu mk	I					
14440	analitično		adv.	1	analytically	v z j	I					
4172	analitičny		adj.	1	analytical	v z j	I					
904	analitik		m.anim.	1	analyst	v z j	I					
4171	analiza		f.	1	analysis	v z j	I					
3969	analizovati		v.tr. ipf.	2	analyse, analyze	v z j	I					
16411	anaľny		adj.	1	anal	v z j	I					
23209	analogičny		adj.	1	analogical, analogous	v z j	I					
23208	analogija		f.	1	analogy	v z j	I					
32110	anamneza		f.	1	anamnesis	v cs j	I					
24311	ananas		m.	1	pineapple	v z j	I					
5057	anarhija		f.sg.	1	anarchy	v z j	I					
5058	anarhist		m.anim.	1	anarchist	v z j	I					
23491	anarhizm		m.sg.	1	anarchism	v z j	I					
23494	anatomičny		adj.	1	anatomical	v z j	I					
23493	anatomija		f.sg.	1	anatomy	v z j	I					
24312	Andora		f.sg.	1	Andorra	v z j						
5718	anekdota		f.	1	anecdote	v z j	I					
36190	aneksija		f.	1	annexation	v z j	I					
36191	aneksovati		v.tr. ipf./pf.	1	annex	v z j	I					
20331	anemičny		adj.	1	anaemic	v z j	I					
20332	anemija		f.sg.	1	anaemia	v z j	I					
19633	anestezija		f.sg.	1	anaesthesia	v z j	I					
36752	anestezija		f.	1	anesthesia	v z j	I					
229	angel		m.anim.	1	angel		I					
24314	anglicizm		m.	1	anglicism	v z j	I					
20333	Angličan, Angličanin		m.anim.	1	Englishman							
35052	Anglija		f.sg.	1	England	v z j						
19634	anglijskojęzyčny		adj.	1	Anglophone, English-speaking							
23464	anglijsky rožek		m.	1	English horn, cor anglais							
2850	anglijsky		adj.	1	English							
19635	anglosaksonsky		adj.	1	Anglo-Saxon							
256	Angola		f.sg.	1	Angola							
36537	animacija		f.	1	animation (film)	v z j	I					
36700	animovany film		m.	1	animated film	v z j	I					
36798	anis		m.sg.	1	anise	v z yu	I					
3797	anketa		f.	2	questionnaire		F					
32722	anketa		f.	1	poll, survey, opinion poll	z j	F					
35755	anomalija		f.	1	anomaly	v z j	I					
3949	anonimny		adj.	2	anonymous		I					
34753	antagonist		m.anim.	1	antagonist		I					
35738	antagonizm		m.	1	antagonism		I					
4898	Antarktida		f.sg.	1	Antarctica							
32494	antena		f.	1	antenna		I					
16368	anti-		prefix	1	anti-		I					
36753	antibiotik		m.	1	antibiotic	v z j	I					
16367	antičnosť		f.	1	antiquity		I					
16369	antičny		adj.	1	antique		I					
17120	antihrist		m.anim.	1	antichrist		I					
35717	antikvariat		m.	1	antique shop, second-hand bookstore		I					
32493	antilopa		f.	1	antelope		I					
22629	antimon		m.sg.	1	antimony		I					
35432	antipatija		f.	1	antipathy	v z j	I					
22808	antisemitizm		m.sg.	1	antisemitism		I					
36754	antitělo		n.	1	antibody	v sh bm						
35825	antologija		f.	1	anthology	v z j	I					
37425	antropolog		m.anim.	1	anthropologist	v z j	I	!	!	!	!	!
37426	antropologičny		adj.	1	anthropological	v z j	I	!	!	!	!	!
23495	antropologija		f.sg.	1	anthropology		I					
4952	anulacija		f.	1	cancellation		I					
37	anulovati		v.tr. ipf./pf.	1	cancel, nullify		I					
16250	anus		m.	1	anus		I					
19636	aorist		m.	2	aorist		I					
6263	aparat		m.	1	apparatus		I					
37253	apartament		m.	1	apartment	v z j	I	!	!	!	!	!
39	apelacija		f.	1	appeal		I					
15689	apelacijny sųd		m.	1	appeals court, court of appeal		I					
15690	apelacijny		adj.	1	appellate		I					
15692	apelant		m.anim.	1	appellant		I					
60	apelovati		v.intr. ipf.	1	appeal		I					
6422	apendektomija		f.sg.	1	appendectomy		I					
15764	apendiks		m.	2	appendix (anat.)		I					
150	apetit		m.sg.	1	appetite		F					
36574	aplikacija		f.	1	application (software), app	z j	I					
15240	aplodovańje		n.sg.	5	uploading		E					
5624	aplodovati		v.tr. ipf.	5	upload		E					
36316	apokalipsa		f.	1	apocalypse	v z j	I					
36315	apokaliptičny		adj.	1	apocalyptic	v z j	I					
37437	apologija		f.	1	apology	v z j	I	!	!	!	!	!
32728	aposteriorny		adj.	1	a posteriori		I					
6167	apostol		m.anim.	1	apostle		I					
32556	apostrof		m.	1	apostrophe		I					
4026	aprilj		m.	1	April		I					
32727	apriorny		adj.	1	a priori		I					
37021	apteka		f.	1	pharmacy	v pl sh bm	I	!	!	!	!	!
35575	Arab		m.anim.	1	Arab	v z j						
35576	Arabka		f.	1	Arab	v z j						
2166	arabsky		adj.	1	Arabic, Arab							
36413	aranževati		v.tr. ipf./pf.	1	arrange (music)	v z j	F					
36414	aranžman		m.	1	arrangement (music)	v z j	F					
19637	arbiter		m.anim.	2	arbiter		I					
36761	arbitraž		m.	1	arbitrage	v z j	I					
38	arcivojevoda		m.anim.	1	archduke							
36963	arena		f.	1	arena	v z j	I	!	!	!	!	!
5789	arešt		m.sg.	1	arrest		I					
122	areštovati		v.tr. ipf.	1	arrest		I					
22388	Argentina		f.sg.	1	Argentina							
22389	argentinsky		adj.	1	Argentine							
22614	argon		m.sg.	1	argon		I					
19638	argument		m.	1	argument		I					
19639	argumentacija		f.	1	argumentation		I					
19640	argumentovati		v.intr. ipf.	1	argue		I					
4382	arhaičny		adj.	1	archaic		I					
4383	arhaizm		m.	1	archaism		I					
4419	arheolog		m.anim.	1	archaeologist		I					
4420	arheologičny		adj.	1	archaeological		I					
4418	arheologija		f.sg.	1	archaeology		I					
6166	arhiepiskop		m.anim.	1	archbishop		I					
36677	arhipelag		m.	1	archipelago	v pl j	I					
4893	arhitekt		m.anim.	1	architect		I					
4894	arhitektura		f.sg.	1	architecture		I					
35659	arhitekturny		adj.	1	architectural, architectonic	v z j	I					
35235	arhiv		m.	1	archive	v z j	I					
35281	arhivny		adj.	1	archival	v z j	I					
35236	arhivovati		v.tr. ipf./pf.	1	archive	v z j	I					
5721	aristokracija		f.sg.	1	aristocracy, nobility		I					
5720	aristokrat		m.anim.	1	aristocrat, nobleman		I					
5722	aristokratičny		adj.	1	aristocratic, noble		I					
17124	aristokratka		f.	1	aristocrat, noblewoman		I					
21256	aritmetika		f.sg.	1	arithmetics		I					
17126	arka		f.	1	ark		I					
23500	Arktičny okean		m.sg.	1	Arctic Ocean							
5920	arktičny		adj.	1	Arctic							
6206	Arktika		f.sg.	1	Arctic							
5059	Armenija		f.sg.	1	Armenia							
5060	arměnsky		adj.	1	Armenian							
123	armija		f.	1	army		I					
1851	arogancija		f.sg.	1	arrogance	z j	I					
35635	arogantny		adj.	1	arrogant	j z	I					
24324	aromat		m.	1	aroma, fragrance		I					
22625	arsen		m.sg.	1	arsenic		I					
34	arsenal		m.	1	arsenal		I					
35705	artefakt		m.	1	artifact	v z j	I					
15244	arterija		f.	1	artery		I					
24325	artikulacija		f.	1	articulation		I					
24326	artilerija		f.sg.	1	artillery		I					
33	artist		m.anim.	1	artist		I					
15768	artističny		adj.	1	artistic		I					
31843	as		m.	1	ace (cards)		I					
24327	asfalt		m.sg.	1	asphalt		I					
24328	asfaltobeton		m.sg.	1	asphalt concrete		I					
36762	asimetričny		adj.	1	asymmetrical	v z j	I					
16263	asimilacija		f.sg.	1	assimilation		I					
6246	asimilovati		v.tr. ipf.	1	assimilate		I					
35787	asociacija		f.	1	association	v cs j	I					
19641	aspekt		m.	1	aspect		I					
21257	asteroid		m.	1	asteroid		I					
31854	astma		f.sg.	1	asthma		I					
22973	astrolog		m.anim.	1	astrologer		I					
16264	astrologičny		adj.	1	astrological		I					
4895	astrologija		f.sg.	1	astrology		I					
24330	astronavt		m.anim.	1	astronaut		I					
21258	astronom		m.anim.	1	astronomer		I					
16265	astronomičny		adj.	1	astronomical		I					
18	astronomija		f.sg.	1	astronomy		I					
32	ataka		f.	2	attack		I					
3970	atakovati		v.tr. ipf.	1	attack		I					
23503	ateist		m.anim.	1	atheist		I					
23502	ateizm		m.sg.	1	atheism		I					
16923	atematičny		adj.	1	athematic		I					
23526	Atiny		f.pl.	1	Athens							
23497	Atlantičny okean		m.sg.	1	Atlantic Ocean							
35020	atlantičny		adj.	1	Atlantic		I					
37248	Atlantida		f.sg.	1	Atlantis	v z j	I	!	!	!	!	!
37322	atlas		m.	1	atlas	v z j	I	!	!	!	!	!
35093	atlet		m.anim.	1	athlete	v z j	I					
35095	atletičny		adj.	1	athletic	v z j	I					
35094	atletika		f.sg.	1	athletics	v z j	I					
35084	atmosfera		f.	1	atmosphere	v z j	I					
4661	atom		m.	1	atom		I					
23321	atomna bomba		f.	1	atomic bomb							
37335	atonaľnosť		f.	1	atonality	v z j	I	!	!	!	!	!
37336	atonaľny		adj.	1	atonal	v z j	I	!	!	!	!	!
23184	atrakcija		f.	1	attraction		I					
35788	atraktivny		adj.		attractive		I					
36956	atribut		m.	1	attribute	v z j	I	!	!	!	!	!
36065	atut		m.	2	trump	uk pl yu mk	I					
36825	au!		intj.		ouch!							
36757	aura		f.	1	aura	v z j	I					
36767	aureola		f.	1	aureola, aureole	be z sl hr	I					
36748	autist		m.anim.	1	autist	v z j	I					
36749	autističny		adj.	1	autistic	v z j	I					
36747	autizm		m.	1	autism	v z j	I					
24332	avangarda		f.	1	vanguard		F					
24334	avanpost		m.		outpost		F					
24335	avans		m.		advance		F					
24337	avansovati		v.intr. ipf./pf.	1	advance		I					
24339	avansovy		adj.	1	in advance		I					
24346	Avar		m.anim.	1	Avar							
5766	avarija		f.	1	breakdown, accident		I					
24348	avarijny		adj.	1	emergency		I					
37503	avatar		m.	1	avatar	v z j	I	!	!	!	!	!
3053	avgust		m.	1	August		I					
62	aviacija		f.sg.	1	aviation		I					
17133	aviakarta		f.	1	airplane ticket, airline ticket, plane ticket		I					
64	avialinija		f.	1	airline		I					
24356	aviator		m.anim.		aviator		I					
233	avizo		n.	2	advice, notification		I					
